"valor","vigenciadesde","vigenciahasta"
"643.42","1991-12-02T00:00:00.000","1991-12-02T00:00:00.000"
"639.22","1991-12-03T00:00:00.000","1991-12-03T00:00:00.000"
"635.7","1991-12-04T00:00:00.000","1991-12-04T00:00:00.000"
"631.51","1991-12-05T00:00:00.000","1991-12-05T00:00:00.000"
"627.16","1991-12-06T00:00:00.000","1991-12-06T00:00:00.000"
"638.06","1991-12-07T00:00:00.000","1991-12-09T00:00:00.000"
"622.92","1991-12-10T00:00:00.000","1991-12-10T00:00:00.000"
"627.46","1991-12-11T00:00:00.000","1991-12-11T00:00:00.000"
"633.09","1991-12-12T00:00:00.000","1991-12-12T00:00:00.000"
"632.35","1991-12-13T00:00:00.000","1991-12-13T00:00:00.000"
"630.91","1991-12-14T00:00:00.000","1991-12-16T00:00:00.000"
"626.23","1991-12-17T00:00:00.000","1991-12-17T00:00:00.000"
"626.52","1991-12-18T00:00:00.000","1991-12-18T00:00:00.000"
"633.35","1991-12-19T00:00:00.000","1991-12-19T00:00:00.000"
"621.71","1991-12-20T00:00:00.000","1991-12-20T00:00:00.000"
"620.62","1991-12-21T00:00:00.000","1991-12-23T00:00:00.000"
"622.95","1991-12-24T00:00:00.000","1991-12-24T00:00:00.000"
"622.95","1991-12-25T00:00:00.000","1991-12-26T00:00:00.000"
"631.63","1991-12-27T00:00:00.000","1991-12-27T00:00:00.000"
"632.37","1991-12-28T00:00:00.000","1991-12-30T00:00:00.000"
"632.37","1991-12-31T00:00:00.000","1991-12-31T00:00:00.000"
"632.37","1992-01-01T00:00:00.000","1992-01-01T00:00:00.000"
"638.61","1992-01-02T00:00:00.000","1992-01-02T00:00:00.000"
"632.58","1992-01-03T00:00:00.000","1992-01-03T00:00:00.000"
"638.07","1992-01-04T00:00:00.000","1992-01-07T00:00:00.000"
"638.17","1992-01-08T00:00:00.000","1992-01-08T00:00:00.000"
"638.61","1992-01-09T00:00:00.000","1992-01-09T00:00:00.000"
"637.86","1992-01-10T00:00:00.000","1992-01-10T00:00:00.000"
"645.04","1992-01-11T00:00:00.000","1992-01-13T00:00:00.000"
"659.74","1992-01-14T00:00:00.000","1992-01-14T00:00:00.000"
"657.49","1992-01-15T00:00:00.000","1992-01-15T00:00:00.000"
